"","country","year","demox","income_per_capita","tax_gdp","gini_index","yr_weight","western"
"1110","Russia",2006,50.2,21000,16.6,41.3,0.5,1
"1120","Russia",2016,32.4,24400,9.13,38.2,1,1
"1127","Slovak Republic",2006,74,21700,16.8,27.4,0.5,1
"1137","Slovak Republic",2016,72.9,29200,17.4,26.4,1,1
"1138","Slovenia",2006,79.6,28400,20.8,24.4,0.5,1
"1148","Slovenia",2016,75.1,29900,18.6,25.5,1,1
"1149","Spain",2006,83.4,33700,16.1,33.5,0.5,1
"1159","Spain",2016,83,33400,13.8,36.2,1,1
"1160","Sweden",2006,98.8,43000,28.5,26.9,0.5,1
"1170","Sweden",2016,93.9,46300,27.7,28.9,1,1
"1171","Switzerland",2006,90.2,54500,9.52,34.1,0.5,1
"1181","Switzerland",2016,90.9,57600,9.77,32.4,1,1
"1190","Turkey",2016,50.4,23700,18.3,41.9,1,1
"1191","Ukraine",2006,69.4,7870,17.7,28.3,0.5,1
"1201","Ukraine",2016,57,7680,19.6,24.9,1,1
"1202","United Kingdom",2006,80.8,37800,25.7,34.9,0.5,1
"1212","United Kingdom",2016,83.6,39400,25.6,33.4,1,1
"1213","Australia",2006,90.9,39500,24.6,34.7,0.5,1
"1223","Australia",2016,90.1,44600,22.3,32.3,1,1
"1224","New Zealand",2006,90.1,32400,32,32.8,0.5,1
"1234","New Zealand",2016,92.6,35700,27.2,34.8,1,1
